Period,Total tourists
2012-01-01,162078
2012-02-01,163969
2012-03-01,193236
2012-04-01,210346
2012-05-01,238184
2012-06-01,262991
2012-07-01,300495
2012-08-01,303070
2012-09-01,257459
2012-10-01,229440
2012-11-01,174849
2012-12-01,157672
2013-01-01,176585
2013-02-01,175920
2013-03-01,219333
2013-04-01,227681
2013-05-01,247762
2013-06-01,291694
2013-07-01,315959
2013-08-01,324110
2013-09-01,282699
2013-10-01,234437
2013-11-01,194202
2013-12-01,170390
2014-01-01,190765
2014-02-01,191524
2014-03-01,224900
2014-04-01,240807
2014-05-01,256162
2014-06-01,299399
2014-07-01,360244
2014-08-01,342270
2014-09-01,292443
2014-10-01,261444
2014-11-01,201688
2014-12-01,188248
2015-01-01,201839
2015-02-01,205225
2015-03-01,256261
2015-04-01,261052
2015-05-01,298476
2015-06-01,337977
2015-07-01,393814
2015-08-01,386591
2015-09-01,324947
2015-10-01,266821
2015-11-01,210407
2015-12-01,197916
2016-01-01,227335
2016-02-01,220360
2016-03-01,267560
2016-04-01,281684
2016-05-01,311848
2016-06-01,349765
2016-07-01,406058
2016-08-01,406092
2016-09-01,339995
2016-10-01,307745
2016-11-01,229052
2016-12-01,210362
2017-01-01,234528
2017-02-01,244112
2017-03-01,296545
2017-04-01,310657
2017-05-01,346996
2017-06-01,406187
2017-07-01,431052
2017-08-01,450066
2017-09-01,378830
2017-10-01,331002
2017-11-01,258464
2017-12-01,230628
2018-01-01,248381
2018-02-01,256474
2018-03-01,303541
2018-04-01,328634
2018-05-01,356268
2018-06-01,411802
2018-07-01,478991
2018-08-01,479492
2018-09-01,412947
2018-10-01,357978
2018-11-01,266578
2018-12-01,255763
2019-01-01,261591
2019-02-01,266558
2019-03-01,320299
2019-04-01,355084
2019-05-01,369462
2019-06-01,430828
2019-07-01,494310
2019-08-01,503320
2019-09-01,418273
2019-10-01,361663
2019-11-01,284532
2019-12-01,252172
2020-01-01,72125
2020-02-01,74436
2020-03-01,25952
2020-04-01,10000
2020-05-01,10000
2020-06-01,16989
2020-07-01,46061
2020-08-01,51828
2020-09-01,32500
2020-10-01,19568
2020-11-01,11448
2020-12-01,10000
2021-01-01,25106
2021-02-01,28106
2021-03-01,43731
2021-04-01,55432
2021-05-01,71408
2021-06-01,106969
2021-07-01,158457
2021-08-01,174233
2021-09-01,122684
2021-10-01,91460
2021-11-01,60986
2021-12-01,49026
2022-01-01,226777
2022-02-01,228606
2022-03-01,278422
2022-04-01,285665
2022-05-01,326333
2022-06-01,361525
2022-07-01,416877
2022-08-01,408932
2022-09-01,342266
2022-10-01,305123
2022-11-01,239481
2022-12-01,223727
2023-01-01,266002
2023-02-01,268705
2023-03-01,315685
2023-04-01,355694
2023-05-01,370361
2023-06-01,437013
2023-07-01,495079
2023-08-01,497842
2023-09-01,402378
2023-10-01,360952
2023-11-01,273862
2023-12-01,257857
2024-01-01,277613
2024-02-01,287482
